Subject,Start Date,End Date,All Day Event
Año nuevo - Festivo nacional,01/01/2024,01/01/2024,true
Epifanía del Señor - Festivo nacional,01/06/2024,01/06/2024,true
Viernes Santo - Festivo nacional,03/29/2024,03/29/2024,true
Fin del horario de Invierno (cambio de hora, a las 2:00 serán las 3:00) - Evento especial,03/31/2024,03/31/2024,true
Inicio de la Primavera - Evento especial,03/20/2024,03/20/2024,true
Día del Trabajo - Festivo nacional,05/01/2024,05/01/2024,true
Inicio del Verano - Evento especial,06/20/2024,06/20/2024,true
Santiago Apóstol - Festivo autonómico,07/25/2024,07/25/2024,true
Día de Cantabria (se pasa al día 29 de Julio) - Festivo autonómico,07/28/2024,07/28/2024,true
Día de la Asunción - Festivo nacional,08/15/2024,08/15/2024,true
Día de la Bien Aparecida (se pasa al día 16 de Septiembre) - Festivo autonómico,09/15/2024,09/15/2024,true
Inicio del Otoño - Evento especial,09/23/2024,09/23/2024,true
Fiesta Nacional Española - Festivo nacional,10/12/2024,10/12/2024,true
Fin del horario de Verano (cambio de hora, a las 3:00 serán las 2:00) - Evento especial,10/27/2024,10/27/2024,true
Día de Todos los Santos - Festivo nacional,11/01/2024,11/01/2024,true
Día de la Constitución Española - Festivo nacional,12/06/2024,12/06/2024,true
Inmaculada Concepción (se pasa al día 9 de Diciembre) - Festivo nacional,12/08/2024,12/08/2024,true
Inicio del Invierno - Evento especial,12/21/2024,12/21/2024,true
